,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9979148076943478,0.0020851923056521794,0.0,0.0,0.0,"[[846594      0]
 [  1769      0]]"
ExtraTrees,0.9999834976301418,1.6502369858185706e-05,0.9960362400906002,0.9977311401020987,0.9943470887507067,"[[846590      4]
 [    10   1759]]"
LDA,0.994820613345938,0.005179386654061999,0.09364686468646864,0.07372523546606041,0.12832108535895986,"[[843742   2852]
 [  1542    227]]"
QDA,0.9999599228160587,4.0077183941308144e-05,0.9904009034443817,0.9892836999435984,0.9915206331260599,"[[846575     19]
 [    15   1754]]"
DecisionTree,0.999969352741692,3.0647258308059167e-05,0.9926345609065156,0.9948892674616695,0.9903900508762012,"[[846585      9]
 [    17   1752]]"
RandomForest,0.9999905700743668,9.429925633248975e-06,0.9977337110481587,1.0,0.9954776710005653,"[[846594      0]
 [     8   1761]]"
Bagging,0.9999764251859169,2.3574814083122438e-05,0.9943181818181818,0.9994288977727013,0.9892594686263426,"[[846593      1]
 [    19   1750]]"
GradientBoosting,0.9999752464452127,2.4753554787278558e-05,0.994069471900593,0.9932279909706546,0.994912379875636,"[[846582     12]
 [     9   1760]]"
KNeighbors,0.9999481354090172,5.186459098286936e-05,0.9875635952515546,0.9875635952515546,0.9875635952515546,"[[846572     22]
 [    22   1747]]"
GaussianNB,0.9501263020664503,0.04987369793354967,0.07696502977813652,0.04002722940776038,0.9971735443753533,"[[804288  42306]
 [     5   1764]]"
Perceptron,0.9977462477736535,0.002253752226346505,0.006237006237006237,0.03870967741935484,0.0033917467495760316,"[[846445    149]
 [  1763      6]]"
AdaBoost,0.999977603926621,2.2396073378966315e-05,0.9946068691456146,0.9988597491448119,0.9903900508762012,"[[846592      2]
 [    17   1752]]"
