,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.978723730289982,0.021276269710018,0.8572851766343021,0.9438360695694563,0.7852745629155381,"[[776100   3226]
 [ 14824  54213]]"
ExtraTrees,0.9991489492115992,0.0008510507884007199,0.9947694804253963,0.99504340642618,0.9944957052015586,"[[778984    342]
 [   380  68657]]"
LDA,0.9630959860342801,0.036904013965719865,0.7395341098169718,0.8687137188984226,0.643799701609282,"[[772609   6717]
 [ 24591  44446]]"
QDA,0.986643689081207,0.013356310918793017,0.9239606750998222,0.8607617094701043,0.9971754276692208,"[[768190  11136]
 [   195  68842]]"
DecisionTree,0.9997147447495942,0.0002852552504057815,0.9982473420435123,0.9982328828633091,0.9982618016425975,"[[779204    122]
 [   120  68917]]"
RandomForest,0.9994660304610172,0.0005339695389827232,0.9967154634241837,0.9978368804622397,0.9955965641612469,"[[779177    149]
 [   304  68733]]"
GradientBoosting,0.9994023784629928,0.0005976215370071538,0.9963321734223644,0.9952162099664701,0.9974506424091429,"[[778995    331]
 [   176  68861]]"
KNeighbors,0.997350190897057,0.002649809102942962,0.9838289668666466,0.9772210869285622,0.9905268189521561,"[[777732   1594]
 [   654  68383]]"
GaussianNB,0.8556525921097454,0.14434740789025452,0.5289549299350317,0.3601049566346839,0.9959442038327274,"[[657147 122179]
 [   280  68757]]"
Perceptron,0.9687256516373298,0.03127434836267023,0.7636094727275967,0.9919446309113215,0.6207251184147631,"[[778978    348]
 [ 26184  42853]]"
AdaBoost,0.9982424976101032,0.0017575023898967776,0.9892652723280175,0.9834521457814424,0.9951475295855845,"[[778170   1156]
 [   335  68702]]"
