,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9993092579473645,0.0006907420526354874,0.0034013605442176874,1.0,0.0017035775127768314,"[[847776      0]
 [   586      1]]"
ExtraTrees,0.9998998070401467,0.00010019295985327036,0.9265341400172861,0.9403508771929825,0.9131175468483816,"[[847742     34]
 [    51    536]]"
LDA,0.9974456688940937,0.0025543311059063162,0.011855905152758776,0.00809464508094645,0.022146507666098807,"[[846183   1593]
 [   574     13]]"
QDA,0.9794734093778253,0.020526590622174705,0.06285652782262403,0.0324534592942484,0.9948892674616695,"[[830365  17411]
 [     3    584]]"
DecisionTree,0.9999658165195795,3.418348042052753e-05,0.9754860524091293,0.9681208053691275,0.9829642248722317,"[[847757     19]
 [    10    577]]"
RandomForest,0.9999351692612715,6.48307387285867e-05,0.9525452976704055,0.965034965034965,0.9403747870528109,"[[847756     20]
 [    35    552]]"
GradientBoosting,0.9997418557857898,0.0002581442142101907,0.8260524225575854,0.7738095238095238,0.8858603066439523,"[[847624    152]
 [    67    520]]"
GaussianNB,0.8212592958438781,0.17874070415612184,0.007682692999849488,0.003856159344124448,1.0,"[[696139 151637]
 [     0    587]]"
Perceptron,0.9993080792066603,0.0006919207933396435,0.02329450915141431,0.5,0.01192504258943782,"[[847769      7]
 [   580      7]]"
AdaBoost,0.9999410629647922,5.8937035207806094e-05,0.9576271186440677,0.9527824620573356,0.9625212947189097,"[[847748     28]
 [    22    565]]"
