,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9551654185767178,0.04483458142328225,0.5509857159721403,0.6306274658163541,0.48920425960087205,"[[786990  13669]
 [ 24367  23337]]"
ExtraTrees,0.9999398842240881,6.011577591196221e-05,0.999465470438419,0.9994340453182972,0.9994968975347979,"[[800632     27]
 [    24  47680]]"
LDA,0.9705114438041264,0.029488556195873702,0.7633229581555518,0.6955877028122144,0.8456733187992621,"[[783004  17655]
 [  7362  40342]]"
QDA,0.9994872477936921,0.000512752206307913,0.9954451692616987,0.9944559509613172,0.996436357538152,"[[800394    265]
 [   170  47534]]"
DecisionTree,0.9999681740009878,3.182599901221529e-05,0.9997170078294499,0.9997065297138664,0.9997274861646822,"[[800645     14]
 [    13  47691]]"
RandomForest,0.9999481354090172,5.186459098286936e-05,0.9995388420743722,0.9994969397166094,0.999580747945665,"[[800635     24]
 [    20  47684]]"
GradientBoosting,0.9999269180763424,7.308192365767956e-05,0.9993497776659116,0.9999370382807253,0.9987632064397115,"[[800656      3]
 [    59  47645]]"
GaussianNB,0.40009995721171243,0.5999000427882876,0.15754214912970427,0.08552464858977608,0.9975264128794231,"[[291844 508815]
 [   118  47586]]"
Perceptron,0.9103885954479392,0.08961140455206085,5.26128875267997e-05,7.061398863114784e-05,4.192520543350663e-05,"[[772338  28321]
 [ 47702      2]]"
AdaBoost,0.9995591509766456,0.0004408490233543896,0.9960855731390773,0.9946697324414716,0.9975054502767063,"[[800404    255]
 [   119  47585]]"
