,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.999012478678517,0.0009875213214830775,0.9225352112676056,0.9739776951672863,0.8762541806020067,"[[44250     7]
 [   37   262]]"
ExtraTrees,0.9999102253344107,8.977466558937069e-05,0.9932659932659933,1.0,0.9866220735785953,"[[44257     0]
 [    4   295]]"
Bagging,0.9996857886704372,0.00031421132956279736,0.9761904761904763,0.9930795847750865,0.959866220735786,"[[44255     2]
 [   12   287]]"
LDA,0.9959825837148757,0.0040174162851243376,0.7417027417027419,0.6522842639593909,0.8595317725752508,"[[44120   137]
 [   42   257]]"
QDA,0.971316994344196,0.028683005655803933,0.3187633262260128,0.1896005072923272,1.0,"[[42979  1278]
 [    0   299]]"
DecisionTree,0.9995960140048479,0.00040398599515216807,0.9693877551020409,0.986159169550173,0.9531772575250836,"[[44253     4]
 [   14   285]]"
RandomForest,0.9998204506688213,0.00017954933117874137,0.9864406779661017,1.0,0.9732441471571907,"[[44257     0]
 [    8   291]]"
GradientBoosting,0.9995286830056558,0.00047131699434419606,0.9638554216867471,0.9929078014184397,0.9364548494983278,"[[44255     2]
 [   19   280]]"
GaussianNB,0.7385537301373553,0.26144626986264474,0.04882828447783131,0.02502510880482089,1.0,"[[32608 11649]
 [    0   299]]"
Perceptron,0.9981147320226232,0.0018852679773767843,0.8365758754863813,1.0,0.7190635451505016,"[[44257     0]
 [   84   215]]"
AdaBoost,0.9996409013376425,0.00035909866235748274,0.9727891156462585,0.9896193771626297,0.9565217391304348,"[[44254     3]
 [   13   286]]"
