,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9998204506688213,0.00017954933117874137,0.0,1.0,0.0,"[[44548     0]
 [    8     0]]"
ExtraTrees,0.9997755633360266,0.0002244366639734267,0.375,0.375,0.375,"[[44543     5]
 [    5     3]]"
Bagging,0.9997755633360266,0.0002244366639734267,0.28571428571428575,0.3333333333333333,0.25,"[[44544     4]
 [    6     2]]"
LDA,0.999281802675285,0.0007181973247149655,0.058823529411764705,0.038461538461538464,0.125,"[[44523    25]
 [    7     1]]"
QDA,0.9998204506688213,0.00017954933117874137,0.0,1.0,0.0,"[[44548     0]
 [    8     0]]"
DecisionTree,0.9997082323368346,0.0002917676631654547,0.3157894736842105,0.2727272727272727,0.375,"[[44540     8]
 [    5     3]]"
RandomForest,0.9998204506688213,0.00017954933117874137,0.0,1.0,0.0,"[[44548     0]
 [    8     0]]"
GradientBoosting,0.9997306760032318,0.00026932399676811203,1.0,0.0,0.0,"[[44544     4]
 [    8     0]]"
GaussianNB,0.9745937696382081,0.025406230361791904,0.012216404886561954,0.006151142355008787,0.875,"[[43417  1131]
 [    1     7]]"
Perceptron,0.9994837956728612,0.0005162043271388814,0.14814814814814814,0.10526315789473684,0.25,"[[44531    17]
 [    6     2]]"
AdaBoost,0.9997980070024239,0.00020199299757608404,0.18181818181818182,0.3333333333333333,0.125,"[[44546     2]
 [    7     1]]"
