,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9355642337732292,0.0644357662267708,0.9318489329883448,0.9487625676720804,0.915527776482112,"[[22057  1060]
 [ 1811 19628]]"
ExtraTrees,0.9952194990573661,0.004780500942633989,0.9950269664495341,0.9961200448765893,0.9939362843416204,"[[23034    83]
 [  130 21309]]"
Bagging,0.9947481820630218,0.005251817936978185,0.9945418921440567,0.9946810992394906,0.9944027240076496,"[[23003   114]
 [  120 21319]]"
LDA,0.9291902325163839,0.07080976748361613,0.9247860395260686,0.9457772576555491,0.9047063762302346,"[[22005  1112]
 [ 2043 19396]]"
QDA,0.9426115450219948,0.05738845497800521,0.9392795231649689,0.9567047213622291,0.9224777275059471,"[[22222   895]
 [ 1662 19777]]"
DecisionTree,0.9932669000807972,0.006733099919202801,0.993006340917568,0.9925898308244395,0.9934232007089883,"[[22958   159]
 [  141 21298]]"
RandomForest,0.9948379567286112,0.005162043271388814,0.9946341918626352,0.9949591598599766,0.9943094360744438,"[[23009   108]
 [  122 21317]]"
GradientBoosting,0.9818206302181525,0.018179369781847563,0.9810019701660568,0.986601877624192,0.9754652735668641,"[[22833   284]
 [  526 20913]]"
GaussianNB,0.8781308914624293,0.1218691085375707,0.8722593394184625,0.8799183634724002,0.8647324968515323,"[[20587  2530]
 [ 2900 18539]]"
Perceptron,0.9133898913726546,0.08661010862734536,0.9051353278104181,0.9568607068607069,0.8587154251597556,"[[22287   830]
 [ 3029 18410]]"
AdaBoost,0.9634392674387288,0.03656073256127121,0.9616552503354282,0.9706804789963885,0.952796305797845,"[[22500   617]
 [ 1012 20427]]"
