,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9355642337732292,0.0644357662267708,0.9318489329883448,0.9487625676720804,0.915527776482112,"[[22057  1060]
 [ 1811 19628]]"
ExtraTrees,0.995152168058174,0.004847831941826017,0.9949570414643256,0.9960267377179451,0.9938896403750175,"[[23032    85]
 [  131 21308]]"
Bagging,0.9946359637310351,0.005364036268964898,0.994422013209793,0.9951420029895366,0.9937030645086058,"[[23013   104]
 [  135 21304]]"
LDA,0.9291902325163839,0.07080976748361613,0.9247860395260686,0.9457772576555491,0.9047063762302346,"[[22005  1112]
 [ 2043 19396]]"
QDA,0.9426115450219948,0.05738845497800521,0.9392795231649689,0.9567047213622291,0.9224777275059471,"[[22222   895]
 [ 1662 19777]]"
DecisionTree,0.99358111141036,0.006418888589640004,0.9933317789694567,0.9930539368793996,0.9936097765754,"[[22968   149]
 [  137 21302]]"
RandomForest,0.9949052877278032,0.005094712272196786,0.9947050453686641,0.9948674878686077,0.9945426559074584,"[[23007   110]
 [  117 21322]]"
GradientBoosting,0.9818206302181525,0.018179369781847563,0.9810019701660568,0.986601877624192,0.9754652735668641,"[[22833   284]
 [  526 20913]]"
GaussianNB,0.8781308914624293,0.1218691085375707,0.8722593394184625,0.8799183634724002,0.8647324968515323,"[[20587  2530]
 [ 2900 18539]]"
Perceptron,0.9133898913726546,0.08661010862734536,0.9051353278104181,0.9568607068607069,0.8587154251597556,"[[22287   830]
 [ 3029 18410]]"
AdaBoost,0.9634392674387288,0.03656073256127121,0.9616552503354282,0.9706804789963885,0.952796305797845,"[[22500   617]
 [ 1012 20427]]"
