,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9997082323368346,0.0002917676631654547,0.9037037037037038,0.9838709677419355,0.8356164383561644,"[[44482     1]
 [   12    61]]"
ExtraTrees,0.9999551126672053,4.488733279468534e-05,0.9863013698630136,0.9863013698630136,0.9863013698630136,"[[44482     1]
 [    1    72]]"
Bagging,0.9999775563336026,2.244366639734267e-05,0.993103448275862,1.0,0.9863013698630136,"[[44483     0]
 [    1    72]]"
LDA,0.9930649070832211,0.006935092916778885,0.2830626450116009,0.17039106145251395,0.8356164383561644,"[[44186   297]
 [   12    61]]"
QDA,0.9998428943352186,0.00015710566478139868,0.9536423841059603,0.9230769230769231,0.9863013698630136,"[[44477     6]
 [    1    72]]"
DecisionTree,1.0,0.0,1.0,1.0,1.0,"[[44483     0]
 [    0    73]]"
RandomForest,0.9999551126672053,4.488733279468534e-05,0.9861111111111112,1.0,0.9726027397260274,"[[44483     0]
 [    2    71]]"
GradientBoosting,0.9998428943352186,0.00015710566478139868,0.9530201342281879,0.9342105263157895,0.9726027397260274,"[[44478     5]
 [    2    71]]"
KNeighbors,0.9997755633360266,0.0002244366639734267,0.9295774647887325,0.9565217391304348,0.9041095890410958,"[[44480     3]
 [    7    66]]"
GaussianNB,0.9639330280994703,0.03606697190052967,0.08328579577866514,0.04345238095238095,1.0,"[[42876  1607]
 [    0    73]]"
Perceptron,0.9992593590088877,0.0007406409911123081,0.8156424581005586,0.6886792452830188,1.0,"[[44450    33]
 [    0    73]]"
AdaBoost,0.9999775563336026,2.244366639734267e-05,0.993103448275862,1.0,0.9863013698630136,"[[44483     0]
 [    1    72]]"
