,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9998877816680133,0.00011221833198671335,0.0,1.0,0.0,"[[44551     0]
 [    5     0]]"
ExtraTrees,0.9998877816680133,0.00011221833198671335,0.0,1.0,0.0,"[[44551     0]
 [    5     0]]"
Bagging,0.9998653380016159,0.00013466199838405601,0.4000000000000001,0.4,0.4,"[[44548     3]
 [    3     2]]"
LDA,0.999214471676093,0.0007855283239069934,0.10256410256410256,0.058823529411764705,0.4,"[[44519    32]
 [    3     2]]"
QDA,0.9998877816680133,0.00011221833198671335,0.0,1.0,0.0,"[[44551     0]
 [    5     0]]"
DecisionTree,0.9996857886704372,0.00031421132956279736,0.2222222222222222,0.15384615384615385,0.4,"[[44540    11]
 [    3     2]]"
RandomForest,0.9998877816680133,0.00011221833198671335,0.0,1.0,0.0,"[[44551     0]
 [    5     0]]"
GradientBoosting,0.9998428943352186,0.00015710566478139868,0.3636363636363636,0.3333333333333333,0.4,"[[44547     4]
 [    3     2]]"
KNeighbors,0.9998877816680133,0.00011221833198671335,0.0,1.0,0.0,"[[44551     0]
 [    5     0]]"
GaussianNB,0.9947481820630218,0.005251817936978185,0.01680672268907563,0.008583690987124463,0.4,"[[44320   231]
 [    3     2]]"
Perceptron,0.9998877816680133,0.00011221833198671335,0.0,1.0,0.0,"[[44551     0]
 [    5     0]]"
AdaBoost,0.9999102253344107,8.977466558937069e-05,0.5,0.6666666666666666,0.4,"[[44550     1]
 [    3     2]]"
