,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9355642337732292,0.0644357662267708,0.9318489329883448,0.9487625676720804,0.915527776482112,"[[22057  1060]
 [ 1811 19628]]"
ExtraTrees,0.99535416105575,0.004645838944249933,0.995168180014472,0.9960284085599477,0.9943094360744438,"[[23032    85]
 [  122 21317]]"
Bagging,0.9943890834006643,0.0056109165993356675,0.9941654219566841,0.994861973936195,0.9934698446755912,"[[23007   110]
 [  140 21299]]"
LDA,0.9291902325163839,0.07080976748361613,0.9247860395260686,0.9457772576555491,0.9047063762302346,"[[22005  1112]
 [ 2043 19396]]"
QDA,0.9426115450219948,0.05738845497800521,0.9392795231649689,0.9567047213622291,0.9224777275059471,"[[22222   895]
 [ 1662 19777]]"
DecisionTree,0.99358111141036,0.006418888589640004,0.9933336441191554,0.9927782695802078,0.9938896403750175,"[[22962   155]
 [  131 21308]]"
RandomForest,0.9948828440614059,0.005117155938594129,0.9946806028650087,0.9950520468655184,0.9943094360744438,"[[23011   106]
 [  122 21317]]"
GradientBoosting,0.9818206302181525,0.018179369781847563,0.9810019701660568,0.986601877624192,0.9754652735668641,"[[22833   284]
 [  526 20913]]"
GaussianNB,0.8781308914624293,0.1218691085375707,0.8722593394184625,0.8799183634724002,0.8647324968515323,"[[20587  2530]
 [ 2900 18539]]"
Perceptron,0.9133898913726546,0.08661010862734536,0.9051353278104181,0.9568607068607069,0.8587154251597556,"[[22287   830]
 [ 3029 18410]]"
AdaBoost,0.9634392674387288,0.03656073256127121,0.9616552503354282,0.9706804789963885,0.952796305797845,"[[22500   617]
 [ 1012 20427]]"
