,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9998428943352186,0.00015710566478139868,0.0,0.0,0.0,"[[44549     0]
 [    7     0]]"
ExtraTrees,0.9998428943352186,0.00015710566478139868,0.2222222222222222,0.5,0.14285714285714285,"[[44548     1]
 [    6     1]]"
LDA,0.9995062393392584,0.0004937606607415387,0.0,0.0,0.0,"[[44534    15]
 [    7     0]]"
QDA,0.9998204506688213,0.00017954933117874137,0.0,0.0,0.0,"[[44548     1]
 [    7     0]]"
DecisionTree,0.9997306760032318,0.00026932399676811203,0.14285714285714285,0.14285714285714285,0.14285714285714285,"[[44543     6]
 [    6     1]]"
RandomForest,0.9998204506688213,0.00017954933117874137,0.0,0.0,0.0,"[[44548     1]
 [    7     0]]"
Bagging,0.9997980070024239,0.00020199299757608404,0.18181818181818182,0.25,0.14285714285714285,"[[44546     3]
 [    6     1]]"
GradientBoosting,0.9980698446898285,0.0019301553101714697,0.022727272727272728,0.012345679012345678,0.14285714285714285,"[[44469    80]
 [    6     1]]"
KNeighbors,0.9998428943352186,0.00015710566478139868,0.2222222222222222,0.5,0.14285714285714285,"[[44548     1]
 [    6     1]]"
GaussianNB,0.9739877906454798,0.026012209354520154,0.005150214592274678,0.0025906735751295338,0.42857142857142855,"[[43394  1155]
 [    4     3]]"
Perceptron,0.9998428943352186,0.00015710566478139868,0.0,0.0,0.0,"[[44549     0]
 [    7     0]]"
AdaBoost,0.9998204506688213,0.00017954933117874137,0.2,0.3333333333333333,0.14285714285714285,"[[44547     2]
 [    6     1]]"
LSTM,[0.9998427033424377],[0.0023602847941219807],0.0,0.0,0.0,"[[44503     0]
 [    7     0]]"
