,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     0]
 [    4     0]]"
ExtraTrees,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     0]
 [    4     0]]"
LDA,0.9996184576712451,0.0003815423287548254,0.10526315789473684,0.06666666666666667,0.25,"[[44538    14]
 [    3     1]]"
QDA,0.9998877816680133,0.00011221833198671335,0.0,0.0,0.0,"[[44551     1]
 [    4     0]]"
DecisionTree,0.9998653380016159,0.00013466199838405601,0.4,0.3333333333333333,0.5,"[[44548     4]
 [    2     2]]"
RandomForest,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     0]
 [    4     0]]"
GradientBoosting,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     0]
 [    4     0]]"
KNeighbors,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     0]
 [    4     0]]"
GaussianNB,0.9830101445372116,0.0169898554627884,0.01045751633986928,0.005256241787122208,1.0,"[[43795   757]
 [    0     4]]"
Perceptron,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     0]
 [    4     0]]"
AdaBoost,0.9999102253344107,8.977466558937069e-05,0.3333333333333333,0.5,0.25,"[[44551     1]
 [    3     1]]"
