,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9977780770266631,0.0022219229733369244,0.0,0.0,0.0,"[[44457     0]
 [   99     0]]"
ExtraTrees,0.9997306760032318,0.00026932399676811203,0.9411764705882353,0.9142857142857143,0.9696969696969697,"[[44448     9]
 [    3    96]]"
LDA,0.988149744142203,0.01185025585779693,0.2727272727272727,0.15789473684210525,1.0,"[[43929   528]
 [    0    99]]"
QDA,0.9975311966962923,0.002468803303707694,0.6381578947368421,0.47317073170731705,0.9797979797979798,"[[44349   108]
 [    2    97]]"
DecisionTree,0.9993715773408745,0.0006284226591255947,0.8703703703703703,0.8034188034188035,0.9494949494949495,"[[44434    23]
 [    5    94]]"
RandomForest,0.9991695843432983,0.0008304156567016788,0.8195121951219512,0.7924528301886793,0.8484848484848485,"[[44435    22]
 [   15    84]]"
GradientBoosting,0.9991920280096956,0.0008079719903043361,0.8285714285714286,0.7837837837837838,0.8787878787878788,"[[44433    24]
 [   12    87]]"
KNeighbors,0.9995735703384505,0.00042642966154951073,0.9082125603864735,0.8703703703703703,0.9494949494949495,"[[44443    14]
 [    5    94]]"
GaussianNB,0.991022533441063,0.008977466558937068,0.3288590604026846,0.19718309859154928,0.98989898989899,"[[44058   399]
 [    1    98]]"
Perceptron,0.9973740910315109,0.0026259089684890925,0.6213592233009708,0.45714285714285713,0.9696969696969697,"[[44343   114]
 [    3    96]]"
AdaBoost,0.9991695843432983,0.0008304156567016788,0.8262910798122066,0.7719298245614035,0.8888888888888888,"[[44431    26]
 [   11    88]]"
