,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9982045066882126,0.0017954933117874136,0.9648814749780509,0.9506920415224913,0.9795008912655971,"[[43377    57]
 [   23  1099]]"
ExtraTrees,0.9991920280096956,0.0008079719903043361,0.9839857651245552,0.9822380106571936,0.9857397504456328,"[[43414    20]
 [   16  1106]]"
LDA,0.9891372654636862,0.010862734536313852,0.8154080854309688,0.7126666666666667,0.9527629233511586,"[[43003   431]
 [   53  1069]]"
QDA,0.9862869198312236,0.013713080168776372,0.7858394672274799,0.6476025418833045,0.9991087344028521,"[[42824   610]
 [    1  1121]]"
DecisionTree,0.999012478678517,0.0009875213214830775,0.9803921568627451,0.9803921568627451,0.9803921568627451,"[[43412    22]
 [   22  1100]]"
RandomForest,0.9992593590088877,0.0007406409911123081,0.9853137516688919,0.984,0.9866310160427807,"[[43416    18]
 [   15  1107]]"
Bagging,0.999214471676093,0.0007855283239069934,0.9844375277901289,0.9822537710736469,0.9866310160427807,"[[43414    20]
 [   15  1107]]"
GradientBoosting,0.999281802675285,0.0007181973247149655,0.9858156028368794,0.9805996472663139,0.9910873440285205,"[[43412    22]
 [   10  1112]]"
KNeighbors,0.9989227040129276,0.0010772959870724481,0.9785905441570026,0.9794642857142857,0.9777183600713012,"[[43411    23]
 [   25  1097]]"
GaussianNB,0.7456234850525182,0.2543765149474818,0.16514437242192104,0.0900112413682351,0.9991087344028521,"[[32101 11333]
 [    1  1121]]"
Perceptron,0.9989900350121196,0.0010099649878804202,0.9800266311584553,0.9761273209549072,0.983957219251337,"[[43407    27]
 [   18  1104]]"
AdaBoost,0.9980698446898285,0.0019301553101714697,0.9607664233576643,0.9841121495327103,0.9385026737967914,"[[43417    17]
 [   69  1053]]"
LSTM,[0.9896427989006042],[0.03192683309316635],0.0,0.0,0.0,"[[43389     0]
 [ 1121     0]]"
