,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9960274710476703,0.003972528952329653,0.6549707602339181,0.75,0.5813148788927336,"[[44211    56]
 [  121   168]]"
ExtraTrees,0.9993715773408745,0.0006284226591255947,0.9501779359430605,0.978021978021978,0.9238754325259516,"[[44261     6]
 [   22   267]]"
LDA,0.9925711464224796,0.007428853577520424,0.4704,0.4375,0.5086505190311419,"[[44078   189]
 [  142   147]]"
QDA,0.98217972888051,0.01782027111949008,0.42043795620437957,0.2664199814986124,0.9965397923875432,"[[43474   793]
 [    1   288]]"
DecisionTree,0.9992593590088877,0.0007406409911123081,0.9426086956521739,0.9475524475524476,0.9377162629757786,"[[44252    15]
 [   18   271]]"
RandomForest,0.9993940210072717,0.0006059789927282521,0.9515260323159784,0.9888059701492538,0.916955017301038,"[[44264     3]
 [   24   265]]"
Bagging,0.9994164646736691,0.0005835353263309094,0.9537366548042705,0.9816849816849816,0.9273356401384083,"[[44262     5]
 [   21   268]]"
GradientBoosting,0.9991695843432983,0.0008304156567016788,0.9345132743362832,0.9565217391304348,0.9134948096885813,"[[44255    12]
 [   25   264]]"
KNeighbors,0.9986758236825568,0.0013241763174432176,0.8955752212389381,0.9166666666666666,0.8754325259515571,"[[44244    23]
 [   36   253]]"
GaussianNB,0.9586363228296975,0.04136367717030254,0.23811492352211658,0.1352112676056338,0.9965397923875432,"[[42425  1842]
 [    1   288]]"
Perceptron,0.9937157734087441,0.006284226591255947,0.6464646464646465,0.5089463220675944,0.8858131487889274,"[[44020   247]
 [   33   256]]"
AdaBoost,0.9992369153424904,0.0007630846575096508,0.9392857142857143,0.9704797047970479,0.9100346020761245,"[[44259     8]
 [   26   263]]"
