,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     0]
 [    4     0]]"
ExtraTrees,0.999932669000808,6.733099919202801e-05,0.4,1.0,0.25,"[[44552     0]
 [    3     1]]"
LDA,0.9997755633360266,0.0002244366639734267,0.375,0.25,0.75,"[[44543     9]
 [    1     3]]"
QDA,0.9998877816680133,0.00011221833198671335,0.0,0.0,0.0,"[[44551     1]
 [    4     0]]"
DecisionTree,0.9998877816680133,0.00011221833198671335,0.4444444444444444,0.4,0.5,"[[44549     3]
 [    2     2]]"
RandomForest,0.999932669000808,6.733099919202801e-05,0.4,1.0,0.25,"[[44552     0]
 [    3     1]]"
Bagging,0.9999102253344107,8.977466558937069e-05,0.5,0.5,0.5,"[[44550     2]
 [    2     2]]"
GradientBoosting,0.9982942813538019,0.001705718646198043,0.07317073170731707,0.038461538461538464,0.75,"[[44477    75]
 [    1     3]]"
KNeighbors,0.999932669000808,6.733099919202801e-05,0.4,1.0,0.25,"[[44552     0]
 [    3     1]]"
GaussianNB,0.9922120477601221,0.0077879522398779065,0.011396011396011397,0.005763688760806916,0.5,"[[44207   345]
 [    2     2]]"
Perceptron,0.9998877816680133,0.00011221833198671335,0.5454545454545454,0.42857142857142855,0.75,"[[44548     4]
 [    1     3]]"
AdaBoost,0.9999102253344107,8.977466558937069e-05,0.3333333333333333,0.5,0.25,"[[44551     1]
 [    3     1]]"
LSTM,[0.9999101161956787],[0.0013398510636761785],0.0,0.0,0.0,"[[44506     0]
 [    4     0]]"
