,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9988104856809409,0.0011895143190591615,0.0,0.0,0.0,"[[44503     0]
 [   53     0]]"
ExtraTrees,0.9984738306849807,0.0015261693150193016,0.32,0.3404255319148936,0.3018867924528302,"[[44472    31]
 [   37    16]]"
LDA,0.9868704551575546,0.013129544842445462,0.1509433962264151,0.08176100628930817,0.9811320754716981,"[[43919   584]
 [    1    52]]"
QDA,0.9910674207738576,0.008932579226142382,0.21031746031746032,0.11751662971175167,1.0,"[[44105   398]
 [    0    53]]"
DecisionTree,0.998361612352994,0.001638387647006015,0.23157894736842105,0.2619047619047619,0.20754716981132076,"[[44472    31]
 [   42    11]]"
RandomForest,0.9989002603465302,0.0010997396534697908,0.24615384615384617,0.6666666666666666,0.1509433962264151,"[[44499     4]
 [   45     8]]"
Bagging,0.99822695035461,0.0017730496453900709,0.2616822429906542,0.25925925925925924,0.2641509433962264,"[[44463    40]
 [   39    14]]"
GradientBoosting,0.9986982673489542,0.0013017326510458749,0.23684210526315788,0.391304347826087,0.16981132075471697,"[[44489    14]
 [   44     9]]"
KNeighbors,0.9983167250201993,0.0016832749798007002,0.15730337078651685,0.19444444444444445,0.1320754716981132,"[[44474    29]
 [   46     7]]"
GaussianNB,0.9730227129903941,0.026977287009605888,0.08103975535168195,0.04223107569721116,1.0,"[[43301  1202]
 [    0    53]]"
Perceptron,0.9931995690816051,0.006800430918394829,0.2518518518518518,0.14488636363636365,0.9622641509433962,"[[44202   301]
 [    2    51]]"
AdaBoost,0.9987655983481462,0.001234401651853847,0.15384615384615385,0.4166666666666667,0.09433962264150944,"[[44496     7]
 [   48     5]]"
LSTM,[0.998809278011322],[0.009441258385777473],0.0,0.0,0.0,"[[44457     0]
 [   53     0]]"
