,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9988104856809409,0.0011895143190591615,0.0,0.0,0.0,"[[44503     0]
 [   53     0]]"
ExtraTrees,0.9984738306849807,0.0015261693150193016,0.3333333333333333,0.3469387755102041,0.32075471698113206,"[[44471    32]
 [   36    17]]"
LDA,0.9868704551575546,0.013129544842445462,0.1509433962264151,0.08176100628930817,0.9811320754716981,"[[43919   584]
 [    1    52]]"
QDA,0.9912020827722416,0.008797917227758327,0.21285140562248997,0.11910112359550562,1.0,"[[44111   392]
 [    0    53]]"
DecisionTree,0.9983391686865967,0.0016608313134033575,0.22916666666666666,0.2558139534883721,0.20754716981132076,"[[44471    32]
 [   42    11]]"
RandomForest,0.9987431546817488,0.0012568453182511894,0.15151515151515152,0.38461538461538464,0.09433962264150944,"[[44495     8]
 [   48     5]]"
Bagging,0.998428943352186,0.0015710566478139868,0.3137254901960784,0.32653061224489793,0.3018867924528302,"[[44470    33]
 [   37    16]]"
GradientBoosting,0.9986982673489542,0.0013017326510458749,0.23684210526315788,0.391304347826087,0.16981132075471697,"[[44489    14]
 [   44     9]]"
KNeighbors,0.9983840560193913,0.0016159439806086723,0.12195121951219512,0.1724137931034483,0.09433962264150944,"[[44479    24]
 [   48     5]]"
GaussianNB,0.9730227129903941,0.026977287009605888,0.08103975535168195,0.04223107569721116,1.0,"[[43301  1202]
 [    0    53]]"
Perceptron,0.9931995690816051,0.006800430918394829,0.2518518518518518,0.14488636363636365,0.9622641509433962,"[[44202   301]
 [    2    51]]"
AdaBoost,0.9987655983481462,0.001234401651853847,0.15384615384615385,0.4166666666666667,0.09433962264150944,"[[44496     7]
 [   48     5]]"
