,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9897656881228117,0.010234311877188257,0.8183266932270916,0.8558333333333333,0.783969465648855,"[[43073   173]
 [  283  1027]]"
ExtraTrees,0.9982493940210073,0.0017506059789927282,0.9702743902439024,0.9687975646879756,0.9717557251908397,"[[43205    41]
 [   37  1273]]"
LDA,0.9803169045695305,0.019683095430469522,0.6928196147110333,0.6401294498381876,0.7549618320610687,"[[42690   556]
 [  321   989]]"
QDA,0.8220217254690726,0.17797827453092738,0.23852506241597848,0.13642355008787346,0.9480916030534351,"[[35384  7862]
 [   68  1242]]"
DecisionTree,0.9976209713618817,0.002379028638118323,0.9597875569044007,0.9539969834087482,0.9656488549618321,"[[43185    61]
 [   45  1265]]"
RandomForest,0.9978902953586498,0.002109704641350211,0.963984674329502,0.9676923076923077,0.9603053435114504,"[[43204    42]
 [   52  1258]]"
Bagging,0.9981371756890206,0.0018628243109794415,0.968162639048715,0.9730146491904395,0.9633587786259542,"[[43211    35]
 [   48  1262]]"
GradientBoosting,0.9969925487027561,0.003007451297243918,0.9492424242424242,0.9421052631578948,0.9564885496183206,"[[43169    77]
 [   57  1253]]"
KNeighbors,0.99679055570518,0.003209444294820002,0.9453154875717017,0.9471264367816092,0.9435114503816794,"[[43177    69]
 [   74  1236]]"
GaussianNB,0.9024598258371488,0.09754017416285124,0.3672102504368084,0.22688017272400143,0.9625954198473282,"[[38949  4297]
 [   49  1261]]"
Perceptron,0.9879253074782296,0.012074692521770356,0.8068916008614501,0.7615176151761518,0.8580152671755725,"[[42894   352]
 [  186  1124]]"
AdaBoost,0.9948379567286112,0.005162043271388814,0.9130105900151286,0.9047976011994003,0.9213740458015267,"[[43119   127]
 [  103  1207]]"
