,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.978723730289982,0.021276269710018,0.8572851766343021,0.9438360695694563,0.7852745629155381,"[[776100   3226]
 [ 14824  54213]]"
ExtraTrees,0.9991124082497704,0.0008875917502295598,0.9945446246803208,0.9948689703153989,0.9942204904616365,"[[778972    354]
 [   399  68638]]"
LDA,0.9630959860342801,0.036904013965719865,0.7395341098169718,0.8687137188984226,0.643799701609282,"[[772609   6717]
 [ 24591  44446]]"
QDA,0.986643689081207,0.013356310918793017,0.9239606750998222,0.8607617094701043,0.9971754276692208,"[[768190  11136]
 [   195  68842]]"
DecisionTree,0.9997076723053693,0.00029232769463071823,0.9982038877140126,0.9981894291632266,0.9982183466836624,"[[779201    125]
 [   123  68914]]"
RandomForest,0.999478996608763,0.0005210033912370058,0.9967943138961416,0.9981988001684994,0.9953937743528832,"[[779202    124]
 [   318  68719]]"
GradientBoosting,0.9994023784629928,0.0005976215370071538,0.9963321734223644,0.9952162099664701,0.9974506424091429,"[[778995    331]
 [   176  68861]]"
KNeighbors,0.997350190897057,0.002649809102942962,0.9838289668666466,0.9772210869285622,0.9905268189521561,"[[777732   1594]
 [   654  68383]]"
GaussianNB,0.8556525921097454,0.14434740789025452,0.5289549299350317,0.3601049566346839,0.9959442038327274,"[[657147 122179]
 [   280  68757]]"
Perceptron,0.9687256516373298,0.03127434836267023,0.7636094727275967,0.9919446309113215,0.6207251184147631,"[[778978    348]
 [ 26184  42853]]"
AdaBoost,0.9982424976101032,0.0017575023898967776,0.9892652723280175,0.9834521457814424,0.9951475295855845,"[[778170   1156]
 [   335  68702]]"
